submittedAt,customerName,customerEmail,description,status,closedAt,employee
2015-11-03T22:38:22.710Z,Mr. Siah,Cque@Reuben.pizza,commit within belongs careful there's Emerald fifties curiously dismissed Scarecrow,closed,2016-01-17T10:13:05.450Z,Hoberto
2015-12-10T14:10:53.111Z,Mr. Silas,Ugene@Raylene.com,strains seemed permit hedge being hangings Pumpkinhead remarked great drawing,closed,2016-06-16T02:27:37.127Z,Mack
2016-04-13T02:41:53.433Z,Mrs. Emelita,Justine@Aymund.com,before Drawing confronted quick equal cried machine began Scarecrow escaped,open,,Ayleigh
2015-03-04T04:19:08.417Z,Rotha,Rean@Arter.pizza,ought tered during being smiling shiver worthy water built distance,closed,2016-02-29T00:17:47.905Z,Rodger
2015-11-17T01:43:08.995Z,Oette,Fania@Lomon.com,Royal cushions Woodman enjoying brains knife-blade read: order consume Glinda,open,,Ms. Lerminda
2015-06-05T19:21:21.740Z,Ms. Kemberely,Britt@Chal.pizza,played responded answered you'd Scarecrow breath tenderly brains carry gaily,closed,2016-04-17T19:21:43.493Z,Tria
2016-04-14T19:18:47.304Z,Jimmie,Ltagracelinor@Ildred.pizza,built riders large caught carried searching after first prove voice,closed,2016-04-27T20:00:20.256Z,Mr. Llen
2015-11-20T15:40:14.929Z,Ubye,Numbers@Rley.org,Scarecrow clothing accomplished uttering Ozma's happens After birds' Scarecrow ripple,open,,Rwoodrow
2015-09-09T11:41:31.146Z,Clement,Nillena@Mckinley.com,burden greatly whittled little softly delay finished loses cried noticed,closed,2015-10-01T00:29:57.619Z,Umbertram
2015-09-22T12:53:13.602Z,Lonso,Ransisca@Fanny.org,began nothing spent body? advance surprised thing careful broke Pumpkinhead,closed,2016-01-05T02:03:43.707Z,Oberty
2015-09-22T13:04:36.826Z,Idan,Uford@Hong.pizza,Moreover asleep crown being Scarecrow construction where present first Emerald,closed,2015-10-27T01:23:27.787Z,Kenton
2015-08-23T13:11:32.661Z,Rudy,Madale@Carey.com,through members except chance still Scarecrow adventurous shoes today's farm-house,closed,2016-03-22T13:34:21.773Z,Ms. Aritza
2016-04-05T21:13:21.249Z,Ms. Iuseppina,Inston@Herbertram.org,pieces distance whenever colors money Ozma's record straw heard Pumpkinhead,closed,2016-06-06T11:56:29.224Z,Alva
2015-08-21T14:06:20.599Z,Ms. Illary,Omon@Ierdre.pizza,excuse Whiskers heart Queen Chicago admit Jellia clambered Emerald respectable,open,,Ms. Jude
2015-01-17T19:13:19.495Z,Onelly,Isette@Ptembery.com,dismissed musingly before magic hour's better hailed spare loveliest Woodman,open,,Mr. Dsay
2016-01-26T20:59:24.819Z,Yanna,Lett@Edre.com,morning don't together instead Because remarked follow within sorry making,closed,2016-02-25T02:53:54.251Z,Ximo
2015-08-05T06:37:04.123Z,Athryne,Rsie@Gerryl.pizza,respectfully articles twirled clothes-lines wings Woodman water rightful returned without,closed,2015-11-09T02:07:56.380Z,Srta. Brean
2015-03-30T01:31:46.269Z,Nnie,Mittie@Zulma.com,other girdle announce decided Emerald property light became History imaginable,closed,2015-07-11T12:42:57.256Z,M. Teodore
2015-03-09T14:57:43.394Z,Abel,Bekah@Jimmy.com,EMBRACE answered money Woodman Pumpkinhead asked: along strange understand adding,closed,2015-05-19T08:01:49.884Z,Pril
2015-03-22T02:11:40.761Z,Ms. Kquel,Lindsay@Rudy.pizza,Glinda absurd Woodman tumbling cords curiously guarding worked shouted small,open,,Encio
2016-04-15T10:20:20.507Z,Ryne,Oldo@Neice.com,seventeen beside ground close heard meadows rendered raised should specks,open,,Fr. Eisa
2015-11-06T10:14:06.150Z,Agatha,Erdella@Sonny.org,roads clung yelled: whirling magical through possible Dorothy? certainly packages,open,,Amar
2015-02-22T20:06:10.370Z,Domenic,Colin@Nneth.org,would stood learn rampart passage explained pumpkins several hand-organ? Woodman,closed,2016-02-28T08:40:54.317Z,Ouann
