submittedAt,customerName,customerEmail,description,status,closedAt,employee
2015-11-03T22:38:22.710Z,Mr. Siah,Cque@Reuben.pizza,commit within belongs careful there's Emerald fifties curiously dismissed Scarecrow,closed,2016-01-17T10:13:05.450Z,Hoberto
2015-12-10T14:10:53.111Z,Mr. Silas,Ugene@Raylene.com,strains seemed permit hedge being hangings Pumpkinhead remarked great drawing,closed,2016-06-16T02:27:37.127Z,Mack
2016-04-13T02:41:53.433Z,Mrs. Emelita,Justine@Aymund.com,before Drawing confronted quick equal cried machine began Scarecrow escaped,open,,Ayleigh
2015-03-04T04:19:08.417Z,Rotha,Rean@Arter.pizza,ought tered during being smiling shiver worthy water built distance,closed,2016-02-29T00:17:47.905Z,Rodger
2015-11-17T01:43:08.995Z,Oette,Fania@Lomon.com,Royal cushions Woodman enjoying brains knife-blade read: order consume Glinda,open,,Ms. Lerminda
2015-06-05T19:21:21.740Z,Ms. Kemberely,Britt@Chal.pizza,played responded answered you'd Scarecrow breath tenderly brains carry gaily,closed,2016-04-17T19:21:43.493Z,Tria
2016-04-14T19:18:47.304Z,Jimmie,Ltagracelinor@Ildred.pizza,built riders large caught carried searching after first prove voice,closed,2016-04-27T20:00:20.256Z,Mr. Llen
2015-11-20T15:40:14.929Z,Ubye,Numbers@Rley.org,Scarecrow clothing accomplished uttering Ozma's happens After birds' Scarecrow ripple,open,,Rwoodrow
2015-09-09T11:41:31.146Z,Clement,Nillena@Mckinley.com,burden greatly whittled little softly delay finished loses cried noticed,closed,2015-10-01T00:29:57.619Z,Umbertram
2015-09-22T12:53:13.602Z,Lonso,Ransisca@Fanny.org,began nothing spent body? advance surprised thing careful broke Pumpkinhead,closed,2016-01-05T02:03:43.707Z,Oberty
2015-09-22T13:04:36.826Z,Idan,Uford@Hong.pizza,Moreover asleep crown being Scarecrow construction where present first Emerald,closed,2015-10-27T01:23:27.787Z,Kenton
2015-08-23T13:11:32.661Z,Rudy,Madale@Carey.com,through members except chance still Scarecrow adventurous shoes today's farm-house,closed,2016-03-22T13:34:21.773Z,Ms. Aritza
2016-04-05T21:13:21.249Z,Ms. Iuseppina,Inston@Herbertram.org,pieces distance whenever colors money Ozma's record straw heard Pumpkinhead,closed,2016-06-06T11:56:29.224Z,Alva
2015-08-21T14:06:20.599Z,Ms. Illary,Omon@Ierdre.pizza,excuse Whiskers heart Queen Chicago admit Jellia clambered Emerald respectable,open,,Ms. Jude
2015-01-17T19:13:19.495Z,Onelly,Isette@Ptembery.com,dismissed musingly before magic hour's better hailed spare loveliest Woodman,open,,Mr. Dsay
2016-01-26T20:59:24.819Z,Yanna,Lett@Edre.com,morning don't together instead Because remarked follow within sorry making,closed,2016-02-25T02:53:54.251Z,Ximo
2015-08-05T06:37:04.123Z,Athryne,Rsie@Gerryl.pizza,respectfully articles twirled clothes-lines wings Woodman water rightful returned without,closed,2015-11-09T02:07:56.380Z,Srta. Brean
2015-03-30T01:31:46.269Z,Nnie,Mittie@Zulma.com,other girdle announce decided Emerald property light became History imaginable,closed,2015-07-11T12:42:57.256Z,M. Teodore
2015-03-09T14:57:43.394Z,Abel,Bekah@Jimmy.com,EMBRACE answered money Woodman Pumpkinhead asked: along strange understand adding,closed,2015-05-19T08:01:49.884Z,Pril
2015-03-22T02:11:40.761Z,Ms. Kquel,Lindsay@Rudy.pizza,Glinda absurd Woodman tumbling cords curiously guarding worked shouted small,open,,Encio
2016-04-15T10:20:20.507Z,Ryne,Oldo@Neice.com,seventeen beside ground close heard meadows rendered raised should specks,open,,Fr. Eisa
2015-11-06T10:14:06.150Z,Agatha,Erdella@Sonny.org,roads clung yelled: whirling magical through possible Dorothy? certainly packages,open,,Amar
2015-02-22T20:06:10.370Z,Domenic,Colin@Nneth.org,would stood learn rampart passage explained pumpkins several hand-organ? Woodman,closed,2016-02-28T08:40:54.317Z,Ouann
2016-05-29T00:54:24.821Z,Ms. Ixie,Kena@Lawrence.pizza,which understand polished table reach everything pleasant humble after several,closed,2016-07-27T17:28:32.405Z,Eetta
2015-07-06T06:34:05.350Z,Sr. Gilio,Donovan@Patricia.org,return still material sandwiches sciences pockets wander Scarecrow bills called,closed,2015-08-18T09:00:29.507Z,Oxanne
2015-07-05T20:17:30.465Z,Ldie,Wilson@Kirby.pizza,wrong turned Scarecrow Emerald Queen Suddenly magic heavy country Glinda,open,,Sr. Royal
2015-05-14T13:32:02.410Z,Mr. Edro,Barry@Rrin.pizza,Glinda better quickly Several breath Drawing sands think Majesty MAJESTY,closed,2016-01-15T11:26:39.671Z,Mr. Rell
2016-04-07T05:19:20.661Z,Ms. Ohnie,Arsha@Jaclyn.com,readily mistaken thrown prick soldier suspected soup? questioned Mombi Jinjur,open,,Ylord
2015-08-06T21:50:27.161Z,Inque,Rnestina@Estin.org,leaned would river seemed Emerald noticed course shall Majesty mended,closed,2016-07-12T05:32:52.334Z,Ebio
2016-03-26T15:56:15.455Z,Nnalisa,Blythe@Racquilinetta.org,Drawing remedied Educated fences again women sweep Follow bills noted,closed,2016-07-29T15:14:19.858Z,Colton
2015-01-30T18:30:44.232Z,Idney,Aywoodrow@Clevelt.com,without urged Thing place cross-piece exercise Mombi sofas could notice,open,,Ntina
2016-01-28T18:55:56.111Z,Cynthia,Terence@Mahalia.com,slender kindlings trousers going Queen however terribly monster green above,closed,2016-02-22T00:29:55.296Z,Mrs. Rubie
2015-01-31T10:42:15.764Z,Marx,Louelle@Rafaela.org,shadow nervously waiting silent pinning While written Saw-Horse behind command,closed,2016-06-05T14:31:15.237Z,Icah
2016-02-06T15:08:35.958Z,Dalen,Usty@Frain.pizza,Majesty conquer confused listened which called famous before excited times,closed,2016-07-12T21:24:30.253Z,Mr. Rnon
2015-10-21T16:03:12.414Z,Exanden,Geborg@Keli.org,STRAW returned wonders swiftly extraordinary growing having regiment regular immediately,open,,Arisele
2015-05-19T13:04:13.981Z,Ms. Hard,Hnnie@Zelma.com,Saw-Horse Line-Art straw Highly gladly Guardian decided located flowers sheet,closed,2016-02-07T17:52:29.018Z,Ssie
2016-04-07T22:34:10.684Z,Teny,Redrickie@Exandell.org,never while night wanted bodies slain something straw backward objected,open,,Iree
2015-12-17T13:57:11.295Z,Oming,Easonya@Joslyn.pizza,palace forest Majesty pensive Saw-Horse natural upright pause 'Get-Up wiggled,closed,2016-04-15T03:40:47.213Z,Florencer
2016-06-16T01:03:36.725Z,Inona,Edra@Udine.pizza,crooked didn't those Speaking disappeared opposed things disappointment specimens luckily,closed,2016-07-19T13:18:22.761Z,Rrancesco
2015-12-20T06:59:53.355Z,Mr. Arter,Reddie@Mpia.pizza,Woodman anger counsellor surely respect green across Deposit mountain Magnified,open,,Uncan
2015-11-02T04:24:05.087Z,Ms. Jamee,Loise@Melo.com,lives brittle people satisfaction farther think after while cheerfully Scarecrow,open,,Dino
2016-04-13T10:42:27.817Z,Ms. Krystenesis,Intin@Riselda.pizza,better caught spiced breath discovered Line-Art which bumpy playing girls,closed,2016-07-13T06:51:38.332Z,Ghann
2015-04-30T15:01:01.743Z,Rlys,Svaldo@Lvie.com,invited awful screamed golden these Wicked little worthless horse asked,closed,2015-09-23T07:41:48.529Z,Ms. Ohana
2015-02-19T23:16:58.135Z,Arquis,Forreston@Kerryl.com,Saw-Horse drawing tenderly myself every words mixed slanting planted replied,closed,2015-08-11T23:23:33.940Z,Atashia
2015-12-16T21:53:33.277Z,Cecil,Dolf@Trevor.org,night uttered whatever Majesty's quickly whiskers lightly direction paved Saw-Horse,open,,Nifredricka
2015-09-17T08:37:54.557Z,Ms. Nate,Zulma@Udson.pizza,cheerful desirable numbered gazed anxiously Glinda become dashed everything acquire,closed,2016-07-03T08:48:11.584Z,Aleta
2015-03-27T20:07:55.245Z,Ms. Catalya,Drew@Hnna.pizza,before sprinkled aroused already miles shadows cried visitors afraid their,closed,2015-07-24T13:16:41.098Z,Lery
2015-01-11T02:48:51.529Z,Nidad,Cqulyn@Rene.com,Mombi louder climb appearance forward dismay pennants earnestly farther times,closed,2015-06-07T22:14:01.089Z,Mr. Esus
2016-01-03T00:24:32.921Z,Nthony,Ontess@Rlys.com,travel Scarecrow squash moving should pleasantly Line-Art damaged worthy world,open,,Rtney
2015-04-20T02:10:22.268Z,Mr. Ovan,Erey@Ordan.com,Soldier Jinjur pumpkins? Guardian still started what? hastily Woggle-Bug taking,closed,2015-06-08T12:18:47.886Z,Sr. Enio
2015-02-13T02:03:17.548Z,Ms. Uryn,Devin@Eralyn.pizza,thing green Pumpkinhead arms' color purple SCARECROW because cannot should,closed,2015-07-03T20:01:21.348Z,Isti
2015-01-26T13:46:11.493Z,Paola,Ustavo@Troy.org,Emerald behind Makes Scarecrow captured girls escape Nowitall impressed turned,closed,2016-01-27T11:48:56.717Z,Eota
2016-04-21T07:32:33.513Z,Ms. Ecka,Yolonda@Stacy.com,requires having specimens Queen looked unnoticed gardens given Jellia dripping,open,,Nedict
2015-05-04T21:01:55.098Z,Earl,Cenzo@Ermelanorenetta.com,fountain interrupted palace carefully rebels would Soldier which expect pea-pods,closed,2015-11-12T00:12:50.855Z,Osio
2015-04-05T05:41:35.960Z,Kira,Lexis@Nklyn.com,really knots round shall enough personal thick excellent explain watching,closed,2015-08-03T15:11:10.229Z,Rine
2016-04-16T15:13:42.711Z,Hanial,Olda@Ylie.com,seats discover blinded dreadful holes start Royal begin nothing shook,closed,2016-07-30T13:22:03.549Z,Mr. Gerard
2016-03-01T14:17:08.765Z,Eston,Alindsy@Sachiko.org,Pumpkinhead stock parley selected commanded rules night accomplished Queen together,closed,2016-06-01T01:32:50.762Z,Mr. Quale
2016-07-25T12:01:21.312Z,Erren,Rlottie@Ianell.com,Saw-Horse asking saying: machine Woggle-Bug laughing Sorceress Queen asked Scarecrow's,open,,Ms. Meredith
2015-09-12T00:20:32.086Z,Ms. Eria,Cammy@Takako.pizza,still jeweled returned afraid protested anything money asked Scarecrow boyish,closed,2016-05-25T19:35:17.702Z,Mrs. Enee
2015-10-02T15:06:19.001Z,Kirk,Illy@Zora.com,however mouse agreed being themselves appeared however brittle which surely,closed,2016-07-05T22:50:40.082Z,Ms. Cion
2015-07-24T17:22:04.449Z,Rquis,Cruz@Duardo.pizza,powder pranced thought after machine Father breast surrounded perched followed,closed,2016-04-02T18:36:34.171Z,Justin
2016-03-19T06:10:54.148Z,Miss Orpha,Yang@Ulce.com,occasionally address soldiers voice announced ashamed said: pumpkin wisdom surroundings,open,,Ulio
2015-02-18T13:59:40.806Z,Mr. Jules,Ewart@Humbertram.com,their capture Scarecrow remembered about looked Scarecrow himself quite shook,closed,2015-06-25T18:25:50.234Z,Riede
2015-06-30T06:54:49.810Z,Ms. Ffrey,Onse@Shleighan.org,turned party slowly other circumstance proceeded drawing Surrender stiff statue,closed,2015-06-30T22:37:07.944Z,Ms. Itlin
2015-06-17T14:55:21.791Z,Mr. Lter,Eldon@Acques.org,bearing asked While flower really treason dismounted become event line-art,closed,2016-03-25T22:23:09.718Z,Aria
2015-11-18T16:08:16.246Z,Stin,Claudette@Erry.org,carved suspected Indeed especially friends calls unusual severely curiously isn't,closed,2016-07-17T11:13:03.586Z,Tonya
2015-06-15T10:03:28.753Z,Ngan,Lanor@Illard.org,precious easier never followed queer after daybreak metallic Scarecrow Drawing,closed,2015-11-21T18:32:11.724Z,M. Shirley
2015-07-28T16:28:50.844Z,Srta. June,Edmond@Reina.pizza,girls saying: distressed Sorceress Glinda selected Munchkins during declared upper,closed,2015-08-18T01:26:09.689Z,Dante
2016-02-15T04:12:03.966Z,Oldo,Marice@Rald.pizza,voice concluded Queen unbarred Scarecrow seems thrice thinker faded AROUND,open,,Theodoro
2015-06-05T15:05:51.626Z,Clyn,Rmelo@Rneice.com,swimming great continued themselves Majesty stool proved friend cried can't,closed,2015-08-18T16:27:43.849Z,Mr. Eandrea
2015-10-21T22:46:32.948Z,Lcom,Myron@Uben.pizza,passed clustered Scarecrow accepted chance answered replied future place delightful,closed,2015-12-06T06:12:33.309Z,Sra. Sena
2015-02-05T23:43:31.432Z,Ms. Ergie,Aiko@Armin.com,Pumpkinhead disappeared destroy Fairly their green finding there seemed nothing,closed,2015-06-01T14:58:19.668Z,Telia
2015-05-27T15:24:24.575Z,Vanitra,Shunda@Htel.pizza,guess Soldier City? brains cried toward water Thing answered first,closed,2016-01-27T12:02:54.116Z,Cola
2015-08-14T13:49:57.453Z,Mr. Ndan,Tefan@Cornelida.pizza,remember piece carelessly anxiety Emerald hallways suspected there carrying Scarecrow,closed,2016-03-31T13:32:27.717Z,Lasonya
2016-04-01T12:07:08.418Z,Ezequiel,Dwayne@Dung.pizza,waited brought escape could party sofas promised mahogany line-art along,closed,2016-04-10T08:10:53.727Z,Srta. Rvis
2015-09-29T03:13:19.313Z,Sir Asper,Zack@Daniele.pizza,without hesitation tree-trunk great things nodding clutch added bring Another,closed,2016-07-28T18:29:44.920Z,Ms. Ozellamae
2015-12-24T10:18:51.949Z,Malentina,Amar@Hael.org,necklace grave After throne poisoned Emerald palace themselves short laugh,closed,2015-12-26T13:53:57.974Z,Mr. Kolas
